image_id,ast_tree_count,total_ast_node_count,max_ast_depth,frac_expression_count,sup_expression_count,sub_expression_count,sqrt_expression_count,env_expression_count,bigop_expression_count,accent_expression_count,stackrel_expression_count,textcircled_expression_count,distinct_structure_type_count,structure_combination,total_token_count,distinct_token_count,rare10_token_occurrence_count,rare10_expression_count,has_rare10,english_tokens,digit_tokens,greek_tokens,special_symbol_tokens,operator_tokens,grouping_tokens,structural_tokens,CJK_tokens,punctuation_tokens,layout__alignment_tokens,other__unknown_tokens
20230917-0538-1942-cd94-0c58e2411477_589d9eea-bc24-4f4a-81cd-2083ed339ccb_12分,19,57,3,9,11,6,0,0,0,0,0,0,3,frac+sup+sub,496,59,0,0,False,68,79,0,23,52,42,197,30,5,0,0
20230917-0538-1942-cd94-0c58e2411477_8a1c00af-7286-44c2-a760-495acbeec758_8分,16,59,3,10,9,9,0,0,0,0,0,0,3,frac+sup+sub,480,45,0,0,False,60,82,0,20,63,34,207,11,3,0,0
20230917-0538-1942-cd94-0c58e2411477_8fc27896-8dc1-40a9-91ac-4c9e6583541e_5分,5,14,2,2,2,1,0,0,0,0,0,0,3,frac+sup+sub,120,26,0,0,False,19,16,0,4,17,8,50,5,1,0,0
20230917-0538-1942-cd94-0c58e2411477_d043419d-a417-427f-8bc8-25e0a053ef02_12分,14,34,2,8,9,4,0,0,0,0,0,0,3,frac+sup+sub,350,57,0,0,False,52,47,0,13,37,34,124,38,5,0,0
20230924-0127-2334-8f24-59c13b970885_0a6d028b-0f86-4eaa-b277-71c4571b51c0_1分,2,4,2,1,1,0,0,0,0,0,0,0,2,frac+sup,60,23,0,0,False,14,3,0,2,11,8,16,5,1,0,0
20230924-0127-2334-8f24-59c13b970885_2b8b60c0-9db0-4c5d-875f-46f471da4f2b_10分,10,21,3,6,5,2,0,1,0,0,0,0,4,frac+sup+sub+env,298,65,5,2,True,38,36,0,17,25,26,91,50,13,2,0
20230924-0127-2334-8f24-59c13b970885_5ca6e4df-a48f-474e-b2f1-59b083b39071_7分,20,30,2,10,8,0,0,0,0,0,0,0,2,frac+sup,378,46,0,0,False,69,50,0,28,56,30,122,15,8,0,0
20230924-0127-2334-8f24-59c13b970885_6c8e5258-43cd-418d-8a35-53951b18349d_10分,8,20,3,5,5,0,0,1,0,0,0,0,3,frac+sup+env,252,49,0,0,False,34,34,0,15,26,28,86,22,5,2,0
20230924-1413-11b2-ff08-839a9d835523_30183b9a-023c-4048-9778-be841461dc39_3分,7,15,2,7,1,0,2,0,0,0,0,0,3,frac+sup+sqrt,159,29,0,0,False,13,28,7,10,17,12,69,1,2,0,0
20230924-1413-11b2-ff08-839a9d835523_8787a6ea-0a1d-4e75-a37f-630e7b6da80f_8分,17,49,3,17,0,3,4,1,0,0,0,0,4,frac+sub+sqrt+env,520,51,0,0,False,27,77,34,36,48,44,228,15,10,1,0
20230924-1413-11b2-ff08-839a9d835523_8c258664-693f-4484-b74e-b09e31bb2044_12分,19,44,2,17,1,0,5,0,0,0,0,0,3,frac+sup+sqrt,473,40,0,0,False,11,83,40,22,46,46,206,10,9,0,0
20230924-1413-11b2-ff08-839a9d835523_978231d7-b577-4509-ba7a-e14381df23c5_8分,20,51,2,16,4,2,8,0,0,0,0,0,4,frac+sup+sub+sqrt,496,42,0,0,False,24,98,28,28,47,38,217,8,8,0,0
20230925-0001-284c-7216-e4ecee732608_3b3ea2d4-e32e-4219-b2d6-46aeacc03563_11分,39,78,2,3,3,24,1,2,0,11,0,0,6,frac+sup+sub+sqrt+env+accent,750,76,0,0,False,100,124,7,46,51,38,282,58,42,2,0
20230925-0001-284c-7216-e4ecee732608_9c317004-3f3e-4f62-a1a3-ae05f3619b59_4分,8,37,1,0,0,8,0,0,0,0,0,0,1,sub,264,37,0,0,False,56,43,0,8,16,2,111,24,4,0,0
20230925-0001-284c-7216-e4ecee732608_bb455d02-251a-42f9-a120-dbccb7f00cae_10分,17,89,3,4,1,15,2,2,0,7,0,0,6,frac+sup+sub+sqrt+env+accent,880,73,1,1,True,105,166,0,38,55,64,329,54,65,4,0
20230925-0001-284c-7216-e4ecee732608_f5e29639-fadc-43a0-bccd-8ada38ab0b5a_10分,54,158,3,8,1,39,7,6,0,13,0,0,6,frac+sup+sub+sqrt+env+accent,1356,69,0,0,False,148,280,1,64,107,78,560,42,70,6,0
20230925-1310-3713-634c-9ceb32915374_47f61eed-6205-48d8-aabb-4152ffcd9cea_12分,39,23,2,5,15,1,0,0,0,0,0,0,3,frac+sup+sub,461,66,1,1,True,87,115,0,8,96,24,79,44,8,0,0
20230925-1310-3713-634c-9ceb32915374_5bfd986f-1be3-41d5-b675-72433734de4e_4分,6,2,1,2,0,0,0,0,0,0,0,0,1,frac,58,17,0,0,False,11,15,0,4,11,6,10,0,1,0,0
20230925-1310-3713-634c-9ceb32915374_5ea6df8c-8560-42ce-9cfd-853856f2668b_4分,7,0,0,0,0,0,0,0,0,0,0,0,0,,68,27,0,0,False,14,15,0,3,12,6,0,15,3,0,0
20230925-1310-3713-634c-9ceb32915374_643f7443-d838-4c00-a48e-c2f4746ac326_4分,18,3,1,1,0,2,0,0,0,0,0,0,2,frac+sub,136,22,0,0,False,24,45,0,5,35,10,11,3,3,0,0
20230925-1310-3713-634c-9ceb32915374_6e6ac957-04f7-480e-8436-53a41d78841f_6分,8,17,1,1,2,2,2,0,0,0,0,0,4,frac+sup+sub+sqrt,241,50,0,0,False,34,67,1,7,38,16,55,19,4,0,0
20230925-1310-3713-634c-9ceb32915374_701fa9d7-55c0-4c7e-a46f-85e84a7f6f68_6分,19,22,2,6,8,1,0,0,0,0,0,0,3,frac+sup+sub,390,68,3,2,True,68,61,0,17,56,24,88,69,7,0,0
20230925-1310-3713-634c-9ceb32915374_72a0a303-8316-4440-8100-c6583b51efde_4分,22,70,2,6,7,9,4,0,0,0,0,0,4,frac+sup+sub+sqrt,565,54,2,1,True,57,124,0,14,47,26,238,51,8,0,0
20230925-1310-3713-634c-9ceb32915374_a7c35943-6372-44de-8454-663748978961_2分,9,6,1,3,1,0,0,0,0,0,0,0,2,frac+sup,164,39,0,0,False,33,36,0,3,33,8,28,20,3,0,0
20230926-0321-2868-70bc-c3e9ad379167_386138a1-91b0-480d-8b6d-9b94336083fe_9分,24,91,2,21,0,1,7,0,0,0,0,0,3,frac+sub+sqrt,805,43,0,0,False,152,71,0,23,96,6,437,18,2,0,0
20230926-0321-2868-70bc-c3e9ad379167_4c2d8757-4e35-4897-bd7e-b178c2b14ef2_5分,18,47,2,10,0,1,4,2,0,0,0,0,4,frac+sub+sqrt+env,521,45,0,0,False,108,44,0,8,68,32,231,22,6,2,0
20230926-0321-2868-70bc-c3e9ad379167_8764c71b-54ef-40ef-a844-caa32d75fcf7_9分,23,86,2,21,0,0,8,0,0,0,0,0,2,frac+sqrt,756,42,0,0,False,131,72,0,3,86,12,414,35,3,0,0
20230926-0321-2868-70bc-c3e9ad379167_a0e55c5f-c8fa-4633-88b9-48d5793cba94_2分,5,15,1,4,0,0,0,0,0,0,0,0,1,frac,162,16,0,0,False,36,14,0,0,29,6,75,1,1,0,0
20230928-0706-101d-2d23-2fcd1b957952_2c99e457-fa46-4cfd-ac32-a23c9ec6bfde_8分,33,65,3,9,3,0,12,3,0,6,0,0,5,frac+sup+sqrt+env+accent,958,114,8,4,True,212,93,8,68,65,40,268,135,65,4,0
20230928-0706-101d-2d23-2fcd1b957952_39131571-da72-41a6-81a7-ce244f756311_2分,3,0,0,0,0,0,0,0,0,0,0,0,0,,34,20,0,0,False,16,1,0,2,3,2,0,8,2,0,0
20230928-0706-101d-2d23-2fcd1b957952_6144516d-4944-4287-b184-03f6e0bdab2d_8分,20,32,2,7,3,3,7,0,0,0,0,0,4,frac+sup+sub+sqrt,453,65,0,0,False,154,41,0,27,44,6,124,44,13,0,0
20230928-0706-101d-2d23-2fcd1b957952_ab1ef8dc-466d-4b52-b2d4-2047957aa5a1_8分,31,43,2,10,1,3,8,0,0,0,0,0,4,frac+sup+sub+sqrt,619,78,0,0,False,200,58,0,40,60,4,175,72,10,0,0
20231002-0409-56f6-b409-d13d52524918_14592208-e6a9-4c50-80b4-3800393d3397_10分,29,122,2,11,15,22,0,0,0,0,0,6,4,frac+sup+sub+textcircled,972,63,0,0,False,130,181,0,28,131,32,440,28,2,0,0
20231002-0409-56f6-b409-d13d52524918_42c2f627-92ac-4ccc-8306-524bf260bfa5_1分,9,45,1,0,7,7,0,0,0,0,0,3,3,sup+sub+textcircled,329,26,0,0,False,63,56,0,10,45,16,135,2,2,0,0
20231002-0409-56f6-b409-d13d52524918_48d4b601-51c1-4efb-bd99-3b5379e97467_6分,15,49,2,3,6,12,0,0,0,0,0,1,4,frac+sup+sub+textcircled,373,38,0,0,False,55,66,0,14,49,10,165,11,3,0,0
20231002-0409-56f6-b409-d13d52524918_585e5886-51f9-45ed-9aa0-51f0bdd4c1f0_9分,27,121,2,8,15,22,0,0,0,0,0,6,4,frac+sup+sub+textcircled,958,50,0,0,False,127,191,0,18,142,42,417,18,3,0,0
20231002-0409-56f6-b409-d13d52524918_7774aa73-0953-402f-a9e7-973d461f2057_8分,26,106,2,9,16,20,0,0,0,0,0,3,4,frac+sup+sub+textcircled,814,45,0,0,False,116,146,0,17,105,38,374,16,2,0,0
20231002-0409-56f6-b409-d13d52524918_7b83992d-d9d3-4e80-9c7a-38685add677f_10分,22,82,3,6,13,18,0,0,0,0,0,0,3,frac+sup+sub,638,39,0,0,False,102,115,0,14,95,20,284,8,0,0,0
20231002-0409-56f6-b409-d13d52524918_84f31227-a0eb-4296-90dc-cf6d5d078593_12分,29,106,2,8,14,23,0,0,0,0,0,8,4,frac+sup+sub+textcircled,902,59,2,1,True,114,170,0,27,107,76,366,40,2,0,0
20231002-0409-56f6-b409-d13d52524918_8cf8d4de-9b64-4417-9dca-0fd4d4d336d2_8分,21,96,2,9,12,16,0,1,0,0,0,5,5,frac+sup+sub+env+textcircled,772,61,0,0,False,102,145,0,21,103,18,339,34,9,1,0
20231005-0822-0843-e73c-78feab697903_0e8492fe-2f51-4c33-abfd-c8e0481993a2_8分,19,30,2,0,6,4,2,0,0,0,0,2,4,sup+sub+sqrt+textcircled,326,74,3,2,True,47,62,0,15,30,24,90,47,11,0,0
20231005-0822-0843-e73c-78feab697903_645289b7-c7e7-46d0-977d-aa2d7cf9930f_4分,15,36,2,3,8,4,7,0,0,0,0,0,4,frac+sup+sub+sqrt,333,64,2,1,True,43,59,0,23,31,20,114,36,7,0,0
20231005-0822-0843-e73c-78feab697903_8768ba30-f2cc-4f45-9cb0-e9fd529dcc6a_4分,22,84,2,6,8,10,3,1,0,0,0,4,6,frac+sup+sub+sqrt+env+textcircled,637,65,2,1,True,68,130,0,24,55,44,273,31,11,1,0
20231005-0822-0843-e73c-78feab697903_ab4bfd07-b59d-487e-918b-94b9f72dd4e1_12分,19,55,2,0,9,11,4,0,0,0,0,0,3,sup+sub+sqrt,476,74,3,2,True,69,88,0,29,47,22,165,45,11,0,0
20231011-0527-43a1-7adb-7d1efd377690_59960b6a-a187-4f3d-b9f8-a05171aec69d_12分,24,19,2,7,4,1,1,0,0,0,0,0,4,frac+sup+sub+sqrt,481,90,9,3,True,48,175,1,14,58,20,77,77,11,0,0
20231011-0527-43a1-7adb-7d1efd377690_61606850-c66a-4e82-acc3-08a44f86957a_2分,10,4,1,3,0,0,0,0,0,0,0,0,1,frac,159,42,0,0,False,15,59,0,8,19,12,20,23,3,0,0
20231011-0527-43a1-7adb-7d1efd377690_8d89f7bc-86a3-4cb6-9971-91186ea07998_5分,10,8,2,5,2,0,1,0,0,0,0,0,3,frac+sup+sqrt,186,47,2,2,True,15,76,0,7,18,8,36,24,2,0,0
20231011-0527-43a1-7adb-7d1efd377690_afe9c0f2-8396-4eb8-bdb3-1ac3f20ecde1_6分,23,15,2,7,3,1,2,0,0,0,0,0,4,frac+sup+sub+sqrt,492,68,2,1,True,48,243,0,14,66,16,63,38,4,0,0
20231011-0527-43a1-7adb-7d1efd377690_ba9131a3-e47c-46e8-8f72-f3fe70bad66e_6分,18,9,2,8,0,0,1,0,0,0,0,0,2,frac+sqrt,294,51,0,0,False,31,135,0,8,34,12,43,28,3,0,0
20231011-0527-43a1-7adb-7d1efd377690_e035e2ef-5f5c-4793-9801-182bfd3cf85b_9分,12,10,2,6,2,0,1,0,0,0,0,0,3,frac+sup+sqrt,271,74,2,1,True,27,87,1,11,34,20,44,42,5,0,0
20231011-0527-43a1-7adb-7d1efd377690_ed34f512-3172-46d5-83ba-b112cbf11332_9分,24,15,1,8,4,1,1,0,0,0,0,0,4,frac+sup+sub+sqrt,454,94,5,3,True,51,149,1,18,65,32,65,70,3,0,0
20231011-0527-43a1-7adb-7d1efd377690_f79c3969-0a37-423a-9b21-a4a57fe61c2a_3分,8,5,2,3,0,0,1,0,0,0,0,0,2,frac+sqrt,171,48,3,2,True,16,65,0,6,20,6,23,33,2,0,0
20231012-0444-57a3-1ada-7918f3305178_2f63f1d7-3752-404e-968a-81b81d20cbff_3分,8,11,1,0,1,7,0,0,0,0,0,0,2,sup+sub,134,28,0,0,False,54,12,0,7,12,0,33,16,0,0,0
20231012-0444-57a3-1ada-7918f3305178_32f6dcf7-e07e-466b-af46-532ff95a13b8_12分,48,152,3,10,2,30,20,6,0,11,0,0,6,frac+sup+sub+sqrt+env+accent,1356,109,2,1,True,210,206,21,51,97,50,571,97,44,9,0
20231012-0444-57a3-1ada-7918f3305178_a25ac8bb-b56f-45f4-88e7-ef245076f684_7分,31,94,2,6,2,19,15,2,0,8,0,0,6,frac+sup+sub+sqrt+env+accent,1108,95,0,0,False,186,167,22,72,98,62,346,91,60,4,0
20231012-0444-57a3-1ada-7918f3305178_c81f14d0-4c41-473b-b08a-87d6df0f62cf_12分,32,102,3,5,3,19,18,3,0,10,0,0,6,frac+sup+sub+sqrt+env+accent,989,84,0,0,False,135,158,18,53,70,60,381,65,46,3,0
20231016-0054-551b-17d1-34fa2a790459_1fee0761-64a8-40f4-bc80-6c357b71da50_8分,15,4,1,1,3,0,0,0,0,0,0,0,2,frac+sup,163,44,0,0,False,30,36,0,8,34,22,14,16,3,0,0
20231016-0054-551b-17d1-34fa2a790459_4c0f9d25-02a5-4e8f-acb5-b051e69847e4_7分,18,19,2,5,5,0,0,5,0,0,0,3,4,frac+sup+env+textcircled,388,58,0,0,False,51,79,2,26,66,32,92,26,7,7,0
20231016-0054-551b-17d1-34fa2a790459_603221ec-5f7d-4518-b842-57bec0ffc30e_6分,19,7,1,0,7,0,0,0,0,0,0,0,1,sup,301,68,0,0,False,53,59,0,14,52,28,21,67,7,0,0
20231016-0054-551b-17d1-34fa2a790459_89af856f-ddfa-4ae8-9dc3-491fa64c1625_2分,14,23,4,5,8,0,2,3,0,0,0,0,4,frac+sup+sqrt+env,302,43,0,0,False,47,51,0,7,50,28,100,13,3,3,0
20231016-0054-551b-17d1-34fa2a790459_91a063e6-8dc6-42bf-9b3b-e2bd099583e3_6分,7,8,2,1,4,0,0,2,0,0,0,0,3,frac+sup+env,136,44,0,0,False,18,25,1,3,20,10,38,15,3,3,0
20231016-0054-551b-17d1-34fa2a790459_9b9d588c-f7b2-47f7-ab11-5fcf29e18523_7分,27,17,1,4,5,0,1,1,0,0,0,5,5,frac+sup+sqrt+env+textcircled,281,49,0,0,False,42,70,1,11,60,18,64,12,2,1,0
20231016-0054-551b-17d1-34fa2a790459_9f73bb29-2539-4b08-bee8-b38cd32ea063_11分,39,31,2,12,7,2,0,2,0,0,0,3,5,frac+sup+sub+env+textcircled,500,58,0,0,False,67,111,0,29,97,32,131,31,0,2,0
20231016-0054-551b-17d1-34fa2a790459_e5cec842-3fbf-445e-a3d9-d153fab3fcd4_7分,7,9,1,0,3,1,0,2,0,0,0,0,3,sup+sub+env,199,51,0,0,False,34,33,0,7,31,18,44,25,4,3,0
20231017-0130-01b5-a24c-eefa96473598_1d7a2572-bb1f-4a60-bfa2-c848aff5fd3c_1分,12,12,2,2,0,1,0,2,0,4,0,0,4,frac+sub+env+accent,265,67,0,0,False,49,32,0,14,17,16,64,46,25,2,0
20231017-0130-01b5-a24c-eefa96473598_449c31db-1b5c-47f7-b368-20ffe4771a1d_7分,24,0,0,0,0,0,0,0,0,0,0,0,0,,354,47,0,0,False,185,4,0,26,37,8,0,74,20,0,0
20231017-0130-01b5-a24c-eefa96473598_4f9f8fd2-4871-40b1-80c3-d4612afe09bf_8分,9,0,0,0,0,0,0,0,0,0,0,0,0,,214,42,0,0,False,114,2,0,12,20,4,0,51,11,0,0
20231017-0130-01b5-a24c-eefa96473598_98841a3f-dd14-416c-8eb8-cbc365a72e56_6分,30,4,1,2,0,0,0,0,0,0,2,0,2,frac+stackrel,293,61,0,0,False,104,30,0,23,24,16,32,44,20,0,0
20231017-0130-01b5-a24c-eefa96473598_b0b7b3c3-c38e-4580-b938-f5270879bbdc_5分,14,7,1,1,0,0,0,0,0,0,3,0,2,frac+stackrel,493,53,0,0,False,237,7,0,48,47,6,35,109,4,0,0
20231017-0130-01b5-a24c-eefa96473598_d6ab895c-219b-458a-8021-9bf0e3b8e46f_5分,17,19,1,4,0,0,0,1,0,4,0,0,3,frac+env+accent,525,87,0,0,False,128,43,0,41,29,38,121,80,43,2,0
20231017-0130-01b5-a24c-eefa96473598_eae3d12c-b46d-458e-a932-81b663bd38d5_5分,9,7,1,2,0,0,0,0,0,0,3,0,2,frac+stackrel,167,42,0,0,False,56,8,0,12,13,4,35,33,6,0,0
20231017-0130-01b5-a24c-eefa96473598_f88758ca-0fb0-4347-9433-985b6c6a3a18_3分,28,0,0,0,0,0,0,0,0,0,0,0,0,,272,41,0,0,False,144,2,0,25,25,4,0,64,8,0,0
20231025-0110-57b2-5fd7-e64e8a782916_158041de-5d4c-4f26-8e00-6fd96f230801_4分,11,8,1,0,6,0,2,0,0,0,0,0,2,sup+sqrt,145,23,0,0,False,33,26,0,10,24,20,24,7,1,0,0
20231025-0110-57b2-5fd7-e64e8a782916_1e1487c7-9ffa-452c-8dca-2f6f5a509ae6_10分,15,23,1,0,12,0,2,1,0,0,0,0,3,sup+sqrt+env,426,40,0,0,False,116,65,0,10,82,44,79,23,3,4,0
20231025-0110-57b2-5fd7-e64e8a782916_a8f8f0aa-ccb0-48aa-bfc1-5c887d5d1f4f_8分,19,18,2,0,11,0,2,0,0,0,0,1,3,sup+sqrt+textcircled,336,30,0,0,False,79,66,0,8,71,48,54,7,3,0,0
20231025-0110-57b2-5fd7-e64e8a782916_ca1d9d06-c57a-47fd-8663-4518ec2c7b55_10分,15,21,1,0,11,0,4,1,0,0,0,0,3,sup+sqrt+env,329,35,0,0,False,73,54,0,13,59,40,73,12,1,4,0
20231025-0336-4028-0ac4-4f2bf6409251_007646ac-7b54-43e2-bf1c-012dc6033419_2分,4,10,2,1,1,0,3,0,0,0,0,1,4,frac+sup+sqrt+textcircled,90,31,0,0,False,15,19,0,8,10,4,32,1,1,0,0
20231025-0336-4028-0ac4-4f2bf6409251_15f189d5-c0c8-4cc6-b3d8-747dc7689dc5_6分,8,11,2,3,1,0,2,0,0,0,0,1,4,frac+sup+sqrt+textcircled,145,35,0,0,False,37,21,3,11,13,8,43,9,0,0,0
