image_id,relative_path,foreground_density
20230917-0538-1942-cd94-0c58e2411477_589d9eea-bc24-4f4a-81cd-2083ed339ccb_12分,20230917-0538-1942-cd94-0c58e2411477_589d9eea-bc24-4f4a-81cd-2083ed339ccb_12分.jpg,0.0515703647013805
20230917-0538-1942-cd94-0c58e2411477_8a1c00af-7286-44c2-a760-495acbeec758_8分,20230917-0538-1942-cd94-0c58e2411477_8a1c00af-7286-44c2-a760-495acbeec758_8分.jpg,0.0589637791948969
20230917-0538-1942-cd94-0c58e2411477_8fc27896-8dc1-40a9-91ac-4c9e6583541e_5分,20230917-0538-1942-cd94-0c58e2411477_8fc27896-8dc1-40a9-91ac-4c9e6583541e_5分.jpg,0.0256310807371251
20230917-0538-1942-cd94-0c58e2411477_d043419d-a417-427f-8bc8-25e0a053ef02_12分,20230917-0538-1942-cd94-0c58e2411477_d043419d-a417-427f-8bc8-25e0a053ef02_12分.jpg,0.0884300854831085
20230924-0127-2334-8f24-59c13b970885_0a6d028b-0f86-4eaa-b277-71c4571b51c0_1分,20230924-0127-2334-8f24-59c13b970885_0a6d028b-0f86-4eaa-b277-71c4571b51c0_1分.jpg,0.0324698904557283
20230924-0127-2334-8f24-59c13b970885_2b8b60c0-9db0-4c5d-875f-46f471da4f2b_10分,20230924-0127-2334-8f24-59c13b970885_2b8b60c0-9db0-4c5d-875f-46f471da4f2b_10分.jpg,0.0877968084891767
20230924-0127-2334-8f24-59c13b970885_5ca6e4df-a48f-474e-b2f1-59b083b39071_7分,20230924-0127-2334-8f24-59c13b970885_5ca6e4df-a48f-474e-b2f1-59b083b39071_7分.jpg,0.0825587997106486
20230924-0127-2334-8f24-59c13b970885_6c8e5258-43cd-418d-8a35-53951b18349d_10分,20230924-0127-2334-8f24-59c13b970885_6c8e5258-43cd-418d-8a35-53951b18349d_10分.jpg,0.060556280855258
20230924-1413-11b2-ff08-839a9d835523_30183b9a-023c-4048-9778-be841461dc39_3分,20230924-1413-11b2-ff08-839a9d835523_30183b9a-023c-4048-9778-be841461dc39_3分.jpg,0.044478378764093
20230924-1413-11b2-ff08-839a9d835523_8787a6ea-0a1d-4e75-a37f-630e7b6da80f_8分,20230924-1413-11b2-ff08-839a9d835523_8787a6ea-0a1d-4e75-a37f-630e7b6da80f_8分.jpg,0.1157670900528043
20230924-1413-11b2-ff08-839a9d835523_8c258664-693f-4484-b74e-b09e31bb2044_12分,20230924-1413-11b2-ff08-839a9d835523_8c258664-693f-4484-b74e-b09e31bb2044_12分.jpg,0.1171285857000142
20230924-1413-11b2-ff08-839a9d835523_978231d7-b577-4509-ba7a-e14381df23c5_8分,20230924-1413-11b2-ff08-839a9d835523_978231d7-b577-4509-ba7a-e14381df23c5_8分.jpg,0.0952076494933637
20230925-0001-284c-7216-e4ecee732608_3b3ea2d4-e32e-4219-b2d6-46aeacc03563_11分,20230925-0001-284c-7216-e4ecee732608_3b3ea2d4-e32e-4219-b2d6-46aeacc03563_11分.jpg,0.0732601555322396
20230925-0001-284c-7216-e4ecee732608_9c317004-3f3e-4f62-a1a3-ae05f3619b59_4分,20230925-0001-284c-7216-e4ecee732608_9c317004-3f3e-4f62-a1a3-ae05f3619b59_4分.jpg,0.0427900828143399
20230925-0001-284c-7216-e4ecee732608_bb455d02-251a-42f9-a120-dbccb7f00cae_10分,20230925-0001-284c-7216-e4ecee732608_bb455d02-251a-42f9-a120-dbccb7f00cae_10分.jpg,0.0700772099599671
20230925-0001-284c-7216-e4ecee732608_f5e29639-fadc-43a0-bccd-8ada38ab0b5a_10分,20230925-0001-284c-7216-e4ecee732608_f5e29639-fadc-43a0-bccd-8ada38ab0b5a_10分.jpg,0.1019195001406442
20230925-1310-3713-634c-9ceb32915374_47f61eed-6205-48d8-aabb-4152ffcd9cea_12分,20230925-1310-3713-634c-9ceb32915374_47f61eed-6205-48d8-aabb-4152ffcd9cea_12分.jpg,0.0766267317799333
20230925-1310-3713-634c-9ceb32915374_5bfd986f-1be3-41d5-b675-72433734de4e_4分,20230925-1310-3713-634c-9ceb32915374_5bfd986f-1be3-41d5-b675-72433734de4e_4分.jpg,0.0120789148558211
20230925-1310-3713-634c-9ceb32915374_5ea6df8c-8560-42ce-9cfd-853856f2668b_4分,20230925-1310-3713-634c-9ceb32915374_5ea6df8c-8560-42ce-9cfd-853856f2668b_4分.jpg,0.0194160577624202
20230925-1310-3713-634c-9ceb32915374_643f7443-d838-4c00-a48e-c2f4746ac326_4分,20230925-1310-3713-634c-9ceb32915374_643f7443-d838-4c00-a48e-c2f4746ac326_4分.jpg,0.0176309964536782
20230925-1310-3713-634c-9ceb32915374_6e6ac957-04f7-480e-8436-53a41d78841f_6分,20230925-1310-3713-634c-9ceb32915374_6e6ac957-04f7-480e-8436-53a41d78841f_6分.jpg,0.0346983462759293
20230925-1310-3713-634c-9ceb32915374_701fa9d7-55c0-4c7e-a46f-85e84a7f6f68_6分,20230925-1310-3713-634c-9ceb32915374_701fa9d7-55c0-4c7e-a46f-85e84a7f6f68_6分.jpg,0.0475551151202265
20230925-1310-3713-634c-9ceb32915374_72a0a303-8316-4440-8100-c6583b51efde_4分,20230925-1310-3713-634c-9ceb32915374_72a0a303-8316-4440-8100-c6583b51efde_4分.jpg,0.0428230798690522
20230925-1310-3713-634c-9ceb32915374_a7c35943-6372-44de-8454-663748978961_2分,20230925-1310-3713-634c-9ceb32915374_a7c35943-6372-44de-8454-663748978961_2分.jpg,0.0223089389379209
20230926-0321-2868-70bc-c3e9ad379167_386138a1-91b0-480d-8b6d-9b94336083fe_9分,20230926-0321-2868-70bc-c3e9ad379167_386138a1-91b0-480d-8b6d-9b94336083fe_9分.jpg,0.0400168075535122
